subject_id,night,split,n_epochs,n_flagged,cache_path
SC4312,E0,train,2510,2485,/home/shamique/projects/sleep/data/cache/SC4312_nightE0.npz
SC4321,E0,val,2689,2450,/home/shamique/projects/sleep/data/cache/SC4321_nightE0.npz
SC4322,E0,train,2545,2094,/home/shamique/projects/sleep/data/cache/SC4322_nightE0.npz
SC4401,E0,train,2596,2486,/home/shamique/projects/sleep/data/cache/SC4401_nightE0.npz
SC4402,E0,train,2772,2118,/home/shamique/projects/sleep/data/cache/SC4402_nightE0.npz
SC4411,E0,train,2728,2306,/home/shamique/projects/sleep/data/cache/SC4411_nightE0.npz
SC4412,E0,train,2594,2462,/home/shamique/projects/sleep/data/cache/SC4412_nightE0.npz
SC4421,E0,train,2764,2722,/home/shamique/projects/sleep/data/cache/SC4421_nightE0.npz
SC4422,E0,train,2682,2089,/home/shamique/projects/sleep/data/cache/SC4422_nightE0.npz
SC4431,E0,train,2723,1642,/home/shamique/projects/sleep/data/cache/SC4431_nightE0.npz
SC4432,E0,train,2780,2412,/home/shamique/projects/sleep/data/cache/SC4432_nightE0.npz
SC4441,E0,train,2620,1902,/home/shamique/projects/sleep/data/cache/SC4441_nightE0.npz
SC4442,E0,train,2778,1363,/home/shamique/projects/sleep/data/cache/SC4442_nightE0.npz
SC4501,E0,train,2750,2594,/home/shamique/projects/sleep/data/cache/SC4501_nightE0.npz
SC4502,E0,train,1129,977,/home/shamique/projects/sleep/data/cache/SC4502_nightE0.npz
SC4511,E0,test,1189,906,/home/shamique/projects/sleep/data/cache/SC4511_nightE0.npz
SC4512,E0,val,2750,2043,/home/shamique/projects/sleep/data/cache/SC4512_nightE0.npz
SC4522,E0,train,1075,951,/home/shamique/projects/sleep/data/cache/SC4522_nightE0.npz
SC4531,E0,val,1367,1257,/home/shamique/projects/sleep/data/cache/SC4531_nightE0.npz
SC4532,E0,test,2744,2630,/home/shamique/projects/sleep/data/cache/SC4532_nightE0.npz
SC4601,E0,train,2730,2730,/home/shamique/projects/sleep/data/cache/SC4601_nightE0.npz
SC4602,E0,train,2800,2798,/home/shamique/projects/sleep/data/cache/SC4602_nightE0.npz
SC4611,E0,test,2644,2641,/home/shamique/projects/sleep/data/cache/SC4611_nightE0.npz
SC4612,E0,test,2730,2678,/home/shamique/projects/sleep/data/cache/SC4612_nightE0.npz
SC4621,E0,train,2612,2205,/home/shamique/projects/sleep/data/cache/SC4621_nightE0.npz
SC4622,E0,train,2856,2532,/home/shamique/projects/sleep/data/cache/SC4622_nightE0.npz
SC4631,E0,val,1896,1865,/home/shamique/projects/sleep/data/cache/SC4631_nightE0.npz
SC4632,E0,train,1709,1582,/home/shamique/projects/sleep/data/cache/SC4632_nightE0.npz
SC4641,E0,train,2680,2389,/home/shamique/projects/sleep/data/cache/SC4641_nightE0.npz
SC4642,E0,test,727,727,/home/shamique/projects/sleep/data/cache/SC4642_nightE0.npz
SC4651,E0,train,1177,1164,/home/shamique/projects/sleep/data/cache/SC4651_nightE0.npz
SC4652,E0,train,2838,2569,/home/shamique/projects/sleep/data/cache/SC4652_nightE0.npz
SC4661,E0,train,2664,1666,/home/shamique/projects/sleep/data/cache/SC4661_nightE0.npz
SC4662,E0,train,2820,1499,/home/shamique/projects/sleep/data/cache/SC4662_nightE0.npz
SC4701,E0,val,2679,502,/home/shamique/projects/sleep/data/cache/SC4701_nightE0.npz
SC4702,E0,train,2624,2053,/home/shamique/projects/sleep/data/cache/SC4702_nightE0.npz
SC4711,E0,val,2730,2176,/home/shamique/projects/sleep/data/cache/SC4711_nightE0.npz
SC4712,E0,train,1442,1263,/home/shamique/projects/sleep/data/cache/SC4712_nightE0.npz
SC4721,E0,train,2342,1847,/home/shamique/projects/sleep/data/cache/SC4721_nightE0.npz
SC4722,E0,train,1361,1305,/home/shamique/projects/sleep/data/cache/SC4722_nightE0.npz
SC4731,E0,train,1176,1024,/home/shamique/projects/sleep/data/cache/SC4731_nightE0.npz
SC4732,E0,train,2519,1926,/home/shamique/projects/sleep/data/cache/SC4732_nightE0.npz
SC4741,E0,test,2689,2534,/home/shamique/projects/sleep/data/cache/SC4741_nightE0.npz
SC4742,E0,train,2589,2234,/home/shamique/projects/sleep/data/cache/SC4742_nightE0.npz
SC4751,E0,train,2680,1268,/home/shamique/projects/sleep/data/cache/SC4751_nightE0.npz
SC4762,E0,train,2662,2126,/home/shamique/projects/sleep/data/cache/SC4762_nightE0.npz
